ID,Name,Price_HUF,Registration_date,Age,Kilometers,Fuel_type,Performance_HP,Performance_kW,Cylinder_capacity_cm3,Transmission,Condition,Color,Nr_pictures,Link
244,FORD FOCUS 1.6 Ti-VCT Champions,2289000,2011,9,150900,Benzin,105,77,1596,Manuális,Normál,Fehér,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_champions-16274081
245,FORD FOCUS 1.6 Ti-VCT Trend,2269000,2011,9,155128,Benzin,105,77,1596,Manuális,Kitűnő,Ezüst (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend-16169313
246,FORD FOCUS 1.0 GTDi EcoBoost Champions,2250000,2012,7.833000000000084,117000,Benzin,125,92,999,Manuális,Kitűnő,Sötétszürke (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_gtdi_ecoboost_champions-16117025
247,FORD FOCUS 1.6 Ti-VCT Trend,2250000,2011,9.25,112500,Benzin,105,77,1596,Manuális,Kitűnő,null,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend-16264028
248,FORD FOCUS 1.0 EcoBoost Trend,2250000,2013,7.5,149000,Benzin,125,92,999,Manuális,Kitűnő,null,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_trend-16265304
249,FORD FOCUS 1.6 Ti-VCT Champions ÜLTETETT.FRISSEN SZERVIZELT,2199999,2011,9.583000000000084,128040,Benzin,125,92,1596,Manuális,Megkímélt,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_champions_ultetett_frissen_szervizelt-16100016
250,FORD FOCUS 1.6 Ti-VCT Trend Plus,2199000,2011,9.5,149000,Benzin,125,92,1596,Manuális,Normál,Fehér,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend_plus-16297472
251,FORD FOCUS 1.6 SCTI Ecoboost Titanium Aktív Park Asszisztens. Tempomat. Navigáció. Fűthető elektromos ülés,2190000,2011,9.333000000000084,152300,Benzin,150,110,1597,Manuális,Újszerű,Ezüst (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_scti_ecoboost_titanium_aktiv_park_asszisztens_tempomat_navigacio_futheto_elektromos_ules-16191825
252,FORD FOCUS 1.6 SCTI Ecoboost Trend,2190000,2011,9.416000000000167,143000,Benzin,150,110,1597,Manuális,Normál,Fekete,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_scti_ecoboost_trend-16292484
253,FORD FOCUS 1.6 TDCi Titanium,2190000,2011,9.416000000000167,166000,Dízel,116,85,1560,Manuális,Megkímélt,Fekete (metál),5,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_titanium-16296930
254,FORD FOCUS 1.6 Ti-VCT Trend Plus EURO5!ISOFIX!TEMPOMAT!,2189000,2011,9.333000000000084,183000,Benzin,105,77,1596,Manuális,Megkímélt,Fekete (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend_plus_euro5isofixtempomat-16300758
255,FORD FOCUS 1.0 EcoBoost Trend,2150000,2013,7.75,106000,Benzin,101,74,999,Manuális,Megkímélt,null,5,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_trend-16198938
256,FORD FOCUS 1.6 Ti-VCT Trend 160463 Km.Sérülésmentes!,2149000,2011,9.583000000000084,160463,Benzin,105,77,1596,Manuális,Megkímélt,Fekete (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend_160463_km_serulesmentes-16264628
257,FORD FOCUS 1.6 Ti-VCT Trend Első tulajdonos. 155.000 Km vezetett szerzivkönyv,2147000,2011,8.833000000000084,155000,Benzin,105,77,1596,Manuális,Megkímélt,Kék,8,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend_elso_tulajdonos_155_000_km_vezetett_szerzivkonyv-16312624
258,FORD FOCUS 1.6 TDCi Trend Plus GARANCIÁVAL,2099000,2013,7.416000000000167,262080,Dízel,95,70,1560,Manuális,Újszerű,Bíborvörös,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_trend_plus_garanciaval-15927716
259,FORD FOCUS 1.6 TDCi Trend Plus DIGIT KLÍMA. FRISS MŰSZAKI. 6 SEBESSÉG. MAGÁNSZ,2099000,2011,9.166000000000167,139120,Dízel,116,85,1560,Manuális,Normál,Szürke,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_trend_plus_digit_klima_friss_muszaki_6_sebesseg_magansz-16274772
260,FORD FOCUS 1.6 TDCi Trend Plus,2090000,2011,9.333000000000084,135000,Dízel,95,70,1560,Manuális,Normál,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_trend_plus-16074537
261,FORD FOCUS 1.6 TDCi Titanium,2050000,2012,8.5,193000,Dízel,116,85,1560,Manuális,Kitűnő,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_titanium-16184828
262,FORD FOCUS 1.4 Ambiente klíma. 1 év vagy 30 000 km GARANCIA!,2049000,2010,10.583000000000084,83900,Benzin,80,59,1388,Manuális,Kitűnő,Sötétszürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_4_ambiente_klima_1_ev_vagy_30_000_km_garancia-16244137
263,FORD FOCUS 1.6 TDCi Trend MO-i,1999000,2011,8.833000000000084,198446,Dízel,95,70,1560,Manuális,Kitűnő,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_trend_mo-i-15521067
264,FORD FOCUS 1.6 TDCi Trend,1999000,2014,6.333000000000084,190600,Dízel,95,70,1560,Manuális,Kitűnő,null,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_trend-15919873
265,FORD FOCUS 1.0 GTDi EcoBoost Technology 121.000KM MULTIKORMANY KLIMA BLUETOOTH,1999000,2012,7.833000000000084,121000,Benzin,101,74,999,Manuális,Normál,Sötétkék (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_gtdi_ecoboost_technology_121_000km_multikormany_klima_bluetooth-16194110
266,FORD FOCUS 1.6 TDCi Trend,1990000,2011,9.5,132303,Dízel,116,85,1560,Manuális,Megkímélt,Szürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_trend-15878698
267,FORD FOCUS ECOSPORT,1910000,2010,10.75,91370,Dízel,90,66,1600,Manuális,Újszerű,Szürke,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_ecosport-15975465
268,FORD FOCUS 1.6 TDCi ECOnetic II,1950000,2011,8.833000000000084,259466,Dízel,109,80,1560,Manuális,Kitűnő,Piros (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_tdci_econetic_ii-16094717
