ID,Name,Price_HUF,Registration_date,Age,Color,Cylinder_capacity_cm3,Transmission,Performance_HP,Performance_kW,Nr_pictures,Condition,Fuel_type,Kilometers,Link
4,HONDA CIVIC 1.4 Comfort,2999990,2013,6.833000000000084,Fehér,1339,Manuális,99,73,0,Kitűnő,Benzin,93000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16574817
5,HONDA CIVIC 1.8 Sport Special Edition,2999000,2010,10.083000000000084,Fekete (metál),1799,Manuális,140,103,12,Kitűnő,Benzin,129455,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_special_edition-16104896
6,HONDA CIVIC 1.8 Sport 3 ÉV GARANCIA/ALUFELNI/DIGITKLÍMA/RADAR/TEMPOMAT,2999000,2011,9.666000000000167,Barna (metál),1799,Manuális,140,103,12,Megkímélt,Benzin,139000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_3_ev_garancia_alufelni_digitklima_radar_tempomat-16384701
7,HONDA CIVIC 1.8 Sport,2999000,2011,9,Piros,1799,Manuális,140,103,12,Sérülésmentes,Benzin,91271,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport-16415493
8,HONDA CIVIC 1.4 Sport,2999000,2012,8.5,Zöld (metál),1339,Manuális,99,73,12,Megkímélt,Benzin,102736,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport-16556731
9,HONDA CIVIC 1.4 Sport,2999000,2013,7.583000000000084,Piros (metál),1339,Manuális,99,73,6,Sérülésmentes,Benzin,116549,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport-16558312
10,HONDA CIVIC 1.8 Sport Special Edition Tolatóradar.Led.Tempomat.Digitklíma.17-es alufelni!1tulaj!Szervizkönyv!!!,2990000,2011,9.583000000000084,Piros,1799,Manuális,140,103,12,Sérülésmentes,Benzin,119850,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_special_edition_tolatoradar_led_tempomat_digitklima_17-es_alufelni1tulajszervizkonyv-16402078
11,HONDA CIVIC 1.6 i-DTEC Sport Magyarországi szervizkönyves!,2989000,2015,5.416000000000167,Fehér (metál),1597,Manuális,120,88,12,Kitűnő,Dízel,182465,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_i-dtec_sport_magyarorszagi_szervizkonyves-16556683
12,HONDA CIVIC 1.6 CTDi Comfort KLIMA! ELEKTROMOS ABLAK! TEMPOMAT!,2987000,2013,7.666000000000167,(metál),1597,Manuális,120,88,12,Normál,Dízel,141000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_ctdi_comfort_klima_elektromos_ablak_tempomat-16553520
13,HONDA CIVIC 1.8 Sport Special Edition Gt,2980000,2010,10.166000000000167,Fekete (metál),1799,Manuális,140,103,6,Megkímélt,Benzin,73000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_special_edition_gt-15938734
14,HONDA CIVIC 1.6 CTDi Sport,2950000,2013,7.5,null,1597,Manuális,120,88,9,Kitűnő,Dízel,201500,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_ctdi_sport-16427269
15,HONDA CIVIC 1.8 Sport,2920000,2011,9.083000000000084,Ezüst (metál),1799,Manuális,140,103,12,Kitűnő,Benzin,89072,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport-16432648
16,HONDA CIVIC 1.4 Sport ÚJ MODELL-ÚJ GUMIK-T.KAMERA-EXTRÁS,2950000,2012,7.916000000000167,Szürke (metál),1339,Manuális,99,73,12,Megkímélt,Benzin,146000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport_uj_modell-uj_gumik-t_kamera-extras-16536599
