"n_rating_count","price","f_stars","f_ratingta","n_ratingta_count","hotel_id","n_distance","n_distance_alter","f_accommodation_type","n_rating","d_offer","d_scarce_room","f_city_actual","f_neighbourhood","f_offer_cat","flag_rating","flag_rating_count","flag_ratingta","flag_ratingta_count"
36,81,"4","4.5",216,21894,2.7,4.4,"Apartment",4.4,1,1,"Vienna","17. Hernals","15-50% offer",0,0,0,0
189,81,"4","3.5",708,21897,1.7,3.8,"Hotel",3.9,1,0,"Vienna","17. Hernals","1-15% offer",0,0,0,0
53,85,"4","3.5",629,21901,1.4,2.5,"Hotel",3.7,1,0,"Vienna","Alsergrund","15-50% offer",0,0,0,0
55,83,"3","4",52,21902,1.7,2.5,"Hotel",4,1,0,"Vienna","Alsergrund","15-50% offer",0,0,0,0
33,82,"4","3.5",219,21903,1.2,2.8,"Hotel",3.9,1,1,"Vienna","Alsergrund","15-50% offer",0,0,0,0
25,229,"5","4.5",27,21904,0.9,3,"Apartment",4.8,1,1,"Vienna","Alsergrund","1-15% offer",0,0,0,0
57,103,"4","3.5",251,21906,0.9,2.4,"Hotel",3.9,0,1,"Vienna","Alsergrund","0% no offer",0,0,0,0
161,150,"4","4.5",617,21907,1,2.7,"Hotel",4.6,0,0,"Vienna","Alsergrund","0% no offer",0,0,0,0
50,80,"2","3.5",146,21908,0.7,2.7,"Hotel",3.5,1,1,"Vienna","Alsergrund","1-15% offer",0,0,0,0
1,153,"3","4",1,21910,1.5,2.7,"Apartment",4,1,1,"Vienna","Alsergrund","15-50% offer",1,1,1,1
203,60,"4","4",359,21912,1.1,2.7,"Hotel",4.1,1,1,"Vienna","Alsergrund","1-15% offer",0,0,0,0
251,128,"4","4",829,21913,0.8,2.9,"Hotel",4,0,0,"Vienna","Alsergrund","0% no offer",0,0,0,0
142,100,"4","4",55,21914,1,2.3,"Apartment",4.5,1,1,"Vienna","Alsergrund","15-50% offer",0,0,0,0
8,143,"2","4",1,21915,1.2,2.3,"Apartment",3.7,1,1,"Vienna","Alsergrund","15-50% offer",0,0,1,1
1,106,"2.5","2",74,21916,0.7,2.6,"Hotel",4,0,1,"Vienna","Alsergrund","0% no offer",1,1,0,0
18,85,"4","4",62,21917,1.7,2.6,"Hotel",4.1,1,0,"Vienna","Alsergrund","1-15% offer",0,0,0,0
20,77,"3","3.5",97,21918,0.9,2.8,"Hotel",3.7,1,0,"Vienna","Alsergrund","15-50% offer",0,0,0,0
77,78,"3","3.5",120,21919,0.8,2.8,"Hotel",3.9,1,1,"Vienna","Alsergrund","15-50% offer",0,0,0,0
76,78,"3","3.5",161,21920,0.9,2.8,"Hotel",4,0,1,"Vienna","Alsergrund","0% no offer",0,0,0,0
1,260,"3.5","5",2,21921,3.4,0.6,"Apartment",4,0,1,"Vienna","Donaustadt","0% no offer",1,1,0,0
5,158,"3","4.5",72,21922,3.4,0.6,"Apartment",4.8,0,1,"Vienna","Donaustadt","0% no offer",0,0,0,0
77,77,"3","4",158,21924,4.2,1.5,"Hotel",3.9,0,1,"Vienna","Donaustadt","0% no offer",0,0,0,0
193,77,"3","3",91,21925,3.9,1.9,"Hotel",2.7,1,0,"Vienna","Donaustadt","50%-75% offer",0,0,0,0
94,95,"4","4",228,21926,3.6,1.2,"Hotel",4.3,1,0,"Vienna","Donaustadt","15-50% offer",0,0,0,0
1,156,"3","4",1,21927,3.8,1.2,"Apartment",3,0,1,"Vienna","Donaustadt","0% no offer",0,0,1,1
5,145,"3","4.5",205,21928,3.5,0.8,"Bed and breakfast",3.5,0,1,"Vienna","Donaustadt","0% no offer",0,0,0,0
178,208,"4","4",1085,21930,2.9,0.6,"Hotel",4.1,0,1,"Vienna","Donaustadt","0% no offer",0,0,0,0
330,87,"3","3.5",423,21933,3.4,0.9,"Hotel",3.7,0,1,"Vienna","Donaustadt","0% no offer",0,0,0,0
6,131,"2","4",1,21934,2.3,4.9,"Apartment",3.5,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
194,54,"3","4",522,21935,2,4.5,"Hotel",3.5,1,0,"Vienna","Favoriten","50%-75% offer",0,0,0,0
9,139,"2","3",17,21936,2.4,5,"Apartment",3,1,1,"Vienna","Favoriten","15-50% offer",0,0,0,0
